STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140101,-9999,-9999,331,223,320,234,277
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140201,-9999,-9999,341,226,328,235,280
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140301,-9999,-9999,343,230,331,246,290
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140401,0,0,377,239,345,253,297
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140501,30,35,363,240,346,254,300
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140601,5,5,359,249,344,257,301
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140701,5,13,370,245,351,262,306
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140801,239,691,368,238,350,257,303
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20140901,439,1202,356,225,344,249,299
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20141001,579,1136,367,234,343,245,292
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20141101,450,1179,350,229,334,249,290
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20141201,419,422,342,236,330,251,290
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150101,0,0,336,225,318,241,279
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150201,409,409,351,229,325,250,290
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150301,5,5,336,220,315,242,280
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150401,0,0,384,238,342,253,296
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150501,269,272,353,236,342,260,299
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150601,160,423,372,212,350,258,307
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150701,30,30,361,239,345,254,300
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150801,20,25,387,245,355,258,304
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20150901,259,634,375,237,363,266,312
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20151001,399,719,364,237,344,255,297
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20151101,20,20,353,225,340,250,296
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20151201,0,0,345,244,332,256,293
GHCND:COM00080028,ERNESTO CORTISSOZ CO,29.9,10.89,-74.781,20160101,0,0,327,225,326,244,-9999
