location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Annaba,12/1/2013 0:00,0,0,0,0
Anapa,12/1/2013 0:00,0,0,0,0
Atlantic City,12/1/2013 0:00,0,0,0,0
Buenos Aires,12/1/2013 0:00,0,0,0.01,0
Malaga,12/1/2013 0:00,0,0,0,0
Ajaccio,12/1/2013 0:00,0,0,0,0
Alicante,12/1/2013 0:00,0,0,0,0
Algiers,12/1/2013 0:00,0,0,0,0
Amsterdam,12/1/2013 0:00,0,0,0,0
Athens,12/1/2013 0:00,0,0,0,0
Atlanta,12/1/2013 0:00,0,0,0,0
Austin,12/1/2013 0:00,0,0,0,0
Antalya,12/1/2013 0:00,0,0,0,0
Phoenix,12/1/2013 0:00,0,0,0,0
Barranquilla,12/1/2013 0:00,0,0,0,0
Barcelona,12/1/2013 0:00,0,0,0,0
Hartford,12/1/2013 0:00,0,0,0,0
Belem,12/1/2013 0:00,0,0,0,0
Berlin,12/1/2013 0:00,0,0,0,0
Brest,12/1/2013 0:00,0,0,0,0
Beirut,12/1/2013 0:00,0,0,0,0
Milan,12/1/2013 0:00,0,0,0,0
"Birmingham, US",12/1/2013 0:00,0,0,0,0
Bastia,12/1/2013 0:00,0,0,0,0
Bilbao,12/1/2013 0:00,0,0,0,0
Biarritz,12/1/2013 0:00,0,0,0,0
Bejaia,12/1/2013 0:00,0,0,0,0
Bodrum,12/1/2013 0:00,0,0,0,0
Bangkok,12/1/2013 0:00,0,0,0.01,0
Batna,12/1/2013 0:00,0,0,0,0
Nashville,12/1/2013 0:00,0,0,0,0
Bordeaux,12/1/2013 0:00,0,0,0,0
Bogota,12/1/2013 0:00,0,0,0.01,0
Boston,12/1/2013 0:00,0,0,0,0
Bari,12/1/2013 0:00,0,0,0,0
Brussels,12/1/2013 0:00,0,0,0,0
"Distrito Federal, BR",12/1/2013 0:00,0,0,0.01,0
Biskra,12/1/2013 0:00,0,0,0,0
Basel,12/1/2013 0:00,0,0,0,0
Buffalo,12/1/2013 0:00,0,0,0,0
Baltimore,12/1/2013 0:00,0,0,0,0
Belize,12/1/2013 0:00,0,0,0,0
Akron,12/1/2013 0:00,0,0,0,0
Paris,12/1/2013 0:00,0,0,0,0
Clermont-Ferrand,12/1/2013 0:00,0,0,0,0
Sao Paulo,12/1/2013 0:00,0,0,0.02,0
Chania,12/1/2013 0:00,0,0,0,0
"Charleston, SC, US",12/1/2013 0:00,0,0,0,0
Cleveland,12/1/2013 0:00,0,0,0,0
Cali,12/1/2013 0:00,0,0,0.01,0
Charlotte,12/1/2013 0:00,0,0,0,0
Calvi,12/1/2013 0:00,0,0,0,0
"Columbus, OH, US",12/1/2013 0:00,0,0,0,0
Belo Horizonte,12/1/2013 0:00,0,0,0,0
"Cordoba, AR",12/1/2013 0:00,0,0,0,0
Catania,12/1/2013 0:00,0,0,0,0
Cartagena,12/1/2013 0:00,0,0,0,0
Cumana,12/1/2013 0:00,0,0,0,0
Cancun,12/1/2013 0:00,0,0,0.01,0
Cincinnati,12/1/2013 0:00,0,0,0,0
Cayman Islands,12/1/2013 0:00,0,0,0.01,0
Constantine,12/1/2013 0:00,0,0,0,0
Dallas,12/1/2013 0:00,0,0,0,0
Dayton,12/1/2013 0:00,0,0,0,0
Washington DC,12/1/2013 0:00,0,0,0,0
Denver,12/1/2013 0:00,0,0,0,0
Djerba,12/1/2013 0:00,0,0,0,0
Moscow,12/1/2013 0:00,0,0,0,0
Des Moines,12/1/2013 0:00,0,0,0,0
Detroit,12/1/2013 0:00,0,0,0,0
Dusseldorf,12/1/2013 0:00,0,0,0,0
Dubai,12/1/2013 0:00,0,0,0,0
Dzaoudzi,12/1/2013 0:00,0,0,0,0
El Paso,12/1/2013 0:00,0,0,0,0
Medellin,12/1/2013 0:00,0,0,0.02,0
New York,12/1/2013 0:00,0,0,0,0
Rome,12/1/2013 0:00,0,0,0,0
Fortaleza,12/1/2013 0:00,0,0,0,0
Frankfurt,12/1/2013 0:00,0,0,0,0
Figari,12/1/2013 0:00,0,0,0,0
Guadalajara,12/1/2013 0:00,0,0,0,0
Turks & Caicos,12/1/2013 0:00,0,0,0,0
Rio de Janeiro,12/1/2013 0:00,0,0,0,0
Grenada,12/1/2013 0:00,0,0,0.01,0
Grand Rapids,12/1/2013 0:00,0,0,0,0
Greensboro,12/1/2013 0:00,0,0,0,0
"Greenville, SC, US",12/1/2013 0:00,0,0,0,0
Guatemala City,12/1/2013 0:00,0,0,0,0
Geneva,12/1/2013 0:00,0,0,0,0
Guayaquil,12/1/2013 0:00,0,0,0,0
Goiania,12/1/2013 0:00,0,0,0,0
Hamburg,12/1/2013 0:00,0,0,0,0
Heraklion,12/1/2013 0:00,0,0,0,0
Hong Kong,12/1/2013 0:00,0,0,0,0
Tokyo,12/1/2013 0:00,0,0,0,0
Houston,12/1/2013 0:00,0,0,0.01,0
Huntsville,12/1/2013 0:00,0,0,0,0
Ibiza,12/1/2013 0:00,0,0,0,0
Wichita,12/1/2013 0:00,0,0,0,0
Kiev,12/1/2013 0:00,0,0,0,0
Indianapolis,12/1/2013 0:00,0,0,0,0
Istanbul,12/1/2013 0:00,0,0,0,0
Jackson,12/1/2013 0:00,0,0,0,0
"Jacksonville, FL, US",12/1/2013 0:00,0,0,0,0
Mikonos,12/1/2013 0:00,0,0,0,0
Santorini,12/1/2013 0:00,0,0,0,0
Kos,12/1/2013 0:00,0,0,0,0
Krasnodar,12/1/2013 0:00,0,0,0,0
Las Vegas,12/1/2013 0:00,0,0,0,0
Los Angeles,12/1/2013 0:00,0,0,0.02,0
Lubbock,12/1/2013 0:00,0,0,0,0
London,12/1/2013 0:00,0,0,0,0
Lourdes,12/1/2013 0:00,0,0,0,0
Lexington,12/1/2013 0:00,0,0,0,0
Lima,12/1/2013 0:00,0,0,0,0
Lisbon,12/1/2013 0:00,0,0,0,0
Little Rock,12/1/2013 0:00,0,0,0,0
Lyon,12/1/2013 0:00,0,0,0,0
Madrid,12/1/2013 0:00,0,0,0,0
Odessa,12/1/2013 0:00,0,0,0,0
Manaus,12/1/2013 0:00,0,0,0,0
Maracaibo,12/1/2013 0:00,0,0,0,0
Kansas City,12/1/2013 0:00,0,0,0,0
Chicago,12/1/2013 0:00,0,0,0,0
Memphis,12/1/2013 0:00,0,0,0,0
Mexico City,12/1/2013 0:00,0,0,0,0
Managua,12/1/2013 0:00,0,0,0.01,0
Merida,12/1/2013 0:00,0,0,0,0
Monastir,12/1/2013 0:00,0,0,0,0
Milwaukee,12/1/2013 0:00,0,0,0,0
Monroe,12/1/2013 0:00,0,0,0,0
Montserrat,12/1/2013 0:00,0,0,0,0
Montpellier,12/1/2013 0:00,0,0,0,0
Marseille,12/1/2013 0:00,0,0,0,0
Mauritius,12/1/2013 0:00,0,0,0.01,0
Minneapolis,12/1/2013 0:00,0,0,0,0
New Orleans,12/1/2013 0:00,0,0,0.01,0
Monterrey,12/1/2013 0:00,0,0,0,0
Maturin,12/1/2013 0:00,0,0,0,0
Montevideo,12/1/2013 0:00,0,0,0,0
Myrtle Beach,12/1/2013 0:00,0,0,0,0
Naples,12/1/2013 0:00,0,0,0,0
Nice,12/1/2013 0:00,0,0,0,0
Nantes,12/1/2013 0:00,0,0,0,0
Oklahoma City,12/1/2013 0:00,0,0,0,0
Omaha,12/1/2013 0:00,0,0,0,0
Norfolk,12/1/2013 0:00,0,0,0,0
Oran,12/1/2013 0:00,0,0,0,0
Paphos,12/1/2013 0:00,0,0,0,0
Perpignan,12/1/2013 0:00,0,0,0,0
Philadelphia,12/1/2013 0:00,0,0,0,0
Pittsburgh,12/1/2013 0:00,0,0,0,0
Palma de Mallorca,12/1/2013 0:00,0,0,0,0
Palermo,12/1/2013 0:00,0,0,0,0
Porlamar,12/1/2013 0:00,0,0,0,0
Pensacola,12/1/2013 0:00,0,0,0,0
Porto Alegre,12/1/2013 0:00,0,0,0,0
Pau,12/1/2013 0:00,0,0,0,0
Providence,12/1/2013 0:00,0,0,0,0
Setif,12/1/2013 0:00,0,0,0,0
Raleigh,12/1/2013 0:00,0,0,0,0
Recife,12/1/2013 0:00,0,0,0,0
Richmond,12/1/2013 0:00,0,0,0,0
"Rochester, NY, US",12/1/2013 0:00,0,0,0,0
Reunion,12/1/2013 0:00,0,0,0,0
San Salvador,12/1/2013 0:00,0,0,0.01,0
San Diego,12/1/2013 0:00,0,0,0,0
San Pedro Sula,12/1/2013 0:00,0,0,0,0
"San Antonio, US",12/1/2013 0:00,0,0,0,0
Savannah,12/1/2013 0:00,0,0,0,0
Santiago,12/1/2013 0:00,0,0,0.01,0
Louisville,12/1/2013 0:00,0,0,0,0
Seattle,12/1/2013 0:00,0,0,0,0
San Francisco,12/1/2013 0:00,0,0,0,0
Salt Lake City,12/1/2013 0:00,0,0,0,0
Salvador,12/1/2013 0:00,0,0,0,0
Sharm el-Sheikh,12/1/2013 0:00,0,0,0,0
St. Louis,12/1/2013 0:00,0,0,0,0
Lamezia Terme,12/1/2013 0:00,0,0,0,0
Strasbourg,12/1/2013 0:00,0,0,0,0
Syracuse,12/1/2013 0:00,0,0,0,0
Tegucigalpa,12/1/2013 0:00,0,0,0,0
Tallahassee,12/1/2013 0:00,0,0,0,0
Toulon,12/1/2013 0:00,0,0,0,0
Toulouse,12/1/2013 0:00,0,0,0,0
Tel Aviv,12/1/2013 0:00,0,0,0,0
Venice,12/1/2013 0:00,0,0,0,0
Tulsa,12/1/2013 0:00,0,0,0,0
Tunis,12/1/2013 0:00,0,0,0,0
Knoxville,12/1/2013 0:00,0,0,0,0
Quito,12/1/2013 0:00,0,0,0,0
Valencia,12/1/2013 0:00,0,0,0,0
"Valencia, VE",12/1/2013 0:00,0,0,0.01,0
Villahermosa,12/1/2013 0:00,0,0,0,0
Springdale,12/1/2013 0:00,0,0,0,0
Ottawa,12/1/2013 0:00,0,0,0,0
Quebec City,12/1/2013 0:00,0,0,0,0
Toronto,12/1/2013 0:00,0,0,0,0
Montreal,12/1/2013 0:00,0,0,0,0
Zakinthos,12/1/2013 0:00,0,0,0,0
Annaba,1/1/2014 0:00,0,0,0,0
Anapa,1/1/2014 0:00,0,0,0,0
